month,region,rainfall_mm,temperature_c,customer_group,shop_type,product_category,product_name,unit_price_tzs,units_sold,demand_level
7,Zanzibar,35.5,24.65,youth,market_stall,Sports goods,Resistance Bands,3452,19,High
1,Dar es Salaam,191.9,27.62,youth,retail_shop,Phone accessories,Laptop,4636,19,Low
4,Kilimanjaro,205.1,22.21,worker,small_shop,Stationery,Fiction,419,8,Low
10,Dar es Salaam,82.3,25.97,worker,retail_shop,Phone accessories,Headphones,1145,19,High
7,Zanzibar,35.5,24.65,general,market_stall,Sports goods,Treadmill,1272,19,Low
4,Kilimanjaro,205.1,22.21,general,retail_shop,Phone accessories,Headphones,1652,17,High
7,Arusha,19.5,17.72,worker,retail_shop,Personal care,Lipstick,2638,16,High
10,Mwanza,152.75,22.48,general,retail_shop,Household items,Cushions,1653,25,High
4,Mwanza,222.6,22.37,youth,retail_shop,Phone accessories,Smartwatch,4142,17,High
10,Dar es Salaam,82.3,25.97,general,market_stall,Sports goods,Dumbbells,3469,25,High
10,Zanzibar,83.5,26.64,youth,market_stall,Clothing,Jacket,3950,14,High
4,Mwanza,222.6,22.37,general,retail_shop,Household items,Cushions,2758,15,High
10,Mwanza,152.75,22.48,worker,retail_shop,Phone accessories,Smartwatch,1734,9,Low
10,Kilimanjaro,51.7,23.9,general,retail_shop,Personal care,Moisturizer,1869,31,High
10,Zanzibar,83.5,26.64,general,small_shop,Stationery,Comics,1015,15,High
1,Mwanza,136.25,21.97,worker,market_stall,Clothing,T-shirt,2663,23,High
10,Dar es Salaam,82.3,25.97,general,retail_shop,Personal care,Lipstick,882,14,Low
1,Zanzibar,201.3,27.76,youth,small_shop,Stationery,Comics,749,14,High
1,Kilimanjaro,43.6,24.46,worker,retail_shop,Household items,Cushions,860,14,High
1,Dar es Salaam,191.9,27.62,general,retail_shop,Phone accessories,Laptop,4796,12,Low
10,Zanzibar,83.5,26.64,worker,retail_shop,Personal care,Foundation,2438,25,Low
7,Zanzibar,35.5,24.65,youth,small_shop,Stationery,Biography,4855,21,High
1,Zanzibar,201.3,27.76,general,retail_shop,Personal care,Perfume,2046,16,Low
1,Mwanza,136.25,21.97,worker,small_shop,Stationery,Biography,228,23,Low
7,Dar es Salaam,20.9,24.91,general,small_shop,Stationery,Non-fiction,123,22,Low
7,Zanzibar,35.5,24.65,general,retail_shop,Personal care,Lipstick,4738,15,Low
1,Mwanza,136.25,21.97,youth,retail_shop,Household items,Cushions,2891,22,High
7,Zanzibar,35.5,24.65,general,market_stall,Clothing,Jeans,624,16,High
7,Mwanza,52.2,22.75,general,market_stall,Sports goods,Dumbbells,615,28,High
10,Arusha,56.8,21.36,worker,retail_shop,Personal care,Moisturizer,1284,15,High
1,Dar es Salaam,191.9,27.62,youth,small_shop,Stationery,Fiction,511,12,High
7,Mwanza,52.2,22.75,youth,retail_shop,Phone accessories,Laptop,1948,10,Low
1,Kilimanjaro,43.6,24.46,youth,retail_shop,Household items,Lamp,939,17,High
10,Arusha,56.8,21.36,general,small_shop,Stationery,Biography,4497,20,Low
4,Kilimanjaro,205.1,22.21,youth,market_stall,Sports goods,Resistance Bands,3592,17,High
10,Arusha,56.8,21.36,youth,market_stall,Clothing,Shoes,1910,29,High
1,Kilimanjaro,43.6,24.46,worker,retail_shop,Personal care,Perfume,1150,15,High
4,Kilimanjaro,205.1,22.21,youth,retail_shop,Personal care,Lipstick,432,16,Low
1,Kilimanjaro,43.6,24.46,youth,small_shop,Stationery,Non-fiction,505,14,High
7,Arusha,19.5,17.72,worker,market_stall,Clothing,Jeans,4784,22,Low
4,Zanzibar,499.3,26.05,general,market_stall,Sports goods,Dumbbells,1503,13,High
4,Mwanza,222.6,22.37,youth,retail_shop,Household items,Lamp,1312,11,Low
4,Dar es Salaam,522.0,25.6,youth,retail_shop,Phone accessories,Smartwatch,1303,20,High
10,Arusha,56.8,21.36,worker,retail_shop,Phone accessories,Laptop,883,12,Low
4,Kilimanjaro,205.1,22.21,general,market_stall,Clothing,Shoes,978,15,High
1,Arusha,168.8,20.99,youth,retail_shop,Personal care,Perfume,2892,11,Low
4,Dar es Salaam,522.0,25.6,worker,retail_shop,Household items,Lamp,2537,19,High
1,Kilimanjaro,43.6,24.46,worker,market_stall,Sports goods,Yoga Mat,2521,28,High
10,Mwanza,152.75,22.48,general,small_shop,Stationery,Fiction,4635,21,High
1,Zanzibar,201.3,27.76,worker,retail_shop,Phone accessories,Smartwatch,3105,12,Low
7,Dar es Salaam,20.9,24.91,youth,retail_shop,Phone accessories,Laptop,1658,10,Low
4,Kilimanjaro,205.1,22.21,general,market_stall,Sports goods,Yoga Mat,3356,22,Low
1,Kilimanjaro,43.6,24.46,worker,market_stall,Clothing,Jeans,3321,19,High
4,Dar es Salaam,522.0,25.6,general,retail_shop,Personal care,Foundation,130,24,Low
4,Arusha,185.1,20.07,youth,retail_shop,Personal care,Moisturizer,3262,17,Low
10,Dar es Salaam,82.3,25.97,youth,small_shop,Stationery,Non-fiction,3009,14,Low
1,Arusha,168.8,20.99,general,retail_shop,Personal care,Moisturizer,2601,22,Low
1,Mwanza,136.25,21.97,general,retail_shop,Household items,Lamp,1402,18,Low
1,Kilimanjaro,43.6,24.46,worker,market_stall,Clothing,Jacket,3998,13,Low
7,Arusha,19.5,17.72,general,small_shop,Stationery,Non-fiction,162,13,High
1,Zanzibar,201.3,27.76,youth,retail_shop,Household items,Wall Art,4450,17,High
4,Mwanza,222.6,22.37,general,market_stall,Sports goods,Yoga Mat,3206,13,High
10,Arusha,56.8,21.36,youth,small_shop,Stationery,Comics,276,29,High
4,Arusha,185.1,20.07,general,retail_shop,Personal care,Perfume,1891,27,High
7,Arusha,19.5,17.72,worker,small_shop,Stationery,Fiction,2094,15,Low
7,Zanzibar,35.5,24.65,general,retail_shop,Household items,Cushions,3627,16,Low
1,Mwanza,136.25,21.97,general,small_shop,Stationery,Fiction,1187,11,Low
10,Dar es Salaam,82.3,25.97,worker,market_stall,Clothing,T-shirt,590,26,High
1,Arusha,168.8,20.99,worker,retail_shop,Phone accessories,Laptop,411,20,Low
7,Kilimanjaro,1.9,20.71,general,market_stall,Clothing,Shoes,2789,21,High
4,Mwanza,222.6,22.37,general,retail_shop,Phone accessories,Laptop,1418,11,Low
7,Arusha,19.5,17.72,general,retail_shop,Phone accessories,Smartphone,1137,18,Low
1,Arusha,168.8,20.99,worker,retail_shop,Phone accessories,Smartphone,2549,12,High
10,Zanzibar,83.5,26.64,worker,market_stall,Sports goods,Dumbbells,1368,18,High
4,Zanzibar,499.3,26.05,worker,market_stall,Sports goods,Treadmill,1743,21,High
7,Zanzibar,35.5,24.65,worker,small_shop,Stationery,Comics,3456,23,Low
7,Kilimanjaro,1.9,20.71,youth,retail_shop,Personal care,Moisturizer,3857,22,High
1,Zanzibar,201.3,27.76,worker,small_shop,Stationery,Biography,3416,16,High
1,Zanzibar,201.3,27.76,general,retail_shop,Phone accessories,Smartphone,4439,17,Low
7,Mwanza,52.2,22.75,general,market_stall,Clothing,T-shirt,4880,18,High
4,Dar es Salaam,522.0,25.6,youth,small_shop,Stationery,Comics,3437,22,Low
7,Arusha,19.5,17.72,general,market_stall,Sports goods,Resistance Bands,3133,16,Low
4,Kilimanjaro,205.1,22.21,youth,small_shop,Stationery,Comics,3429,23,High
7,Arusha,19.5,17.72,worker,retail_shop,Phone accessories,Headphones,4702,13,Low
1,Mwanza,136.25,21.97,youth,retail_shop,Personal care,Moisturizer,2363,19,Low
4,Arusha,185.1,20.07,general,retail_shop,Personal care,Moisturizer,139,8,Low
1,Zanzibar,201.3,27.76,general,retail_shop,Household items,Cushions,3621,17,High
4,Zanzibar,499.3,26.05,general,market_stall,Clothing,T-shirt,4955,27,High
1,Mwanza,136.25,21.97,general,retail_shop,Phone accessories,Headphones,3231,9,Low
1,Arusha,168.8,20.99,youth,small_shop,Stationery,Fiction,4062,18,High
7,Dar es Salaam,20.9,24.91,worker,market_stall,Clothing,Jeans,3271,23,High
4,Kilimanjaro,205.1,22.21,general,retail_shop,Household items,Wall Art,1513,15,Low
10,Dar es Salaam,82.3,25.97,youth,retail_shop,Personal care,Perfume,338,7,Low
10,Arusha,56.8,21.36,general,market_stall,Clothing,Jacket,2357,17,Low
10,Kilimanjaro,51.7,23.9,worker,retail_shop,Personal care,Moisturizer,1360,18,Low
1,Dar es Salaam,191.9,27.62,youth,retail_shop,Personal care,Perfume,4755,12,Low
7,Mwanza,52.2,22.75,worker,small_shop,Stationery,Comics,2956,21,High
4,Zanzibar,499.3,26.05,youth,retail_shop,Personal care,Lipstick,2548,15,High
4,Dar es Salaam,522.0,25.6,general,small_shop,Stationery,Biography,775,25,High
4,Zanzibar,499.3,26.05,youth,market_stall,Clothing,Shoes,1021,17,Low
10,Mwanza,152.75,22.48,youth,retail_shop,Personal care,Lipstick,444,8,Low
10,Kilimanjaro,51.7,23.9,youth,small_shop,Stationery,Non-fiction,2493,16,Low
4,Arusha,185.1,20.07,general,market_stall,Clothing,Jacket,859,18,High
7,Dar es Salaam,20.9,24.91,youth,retail_shop,Household items,Lamp,4160,11,Low
4,Arusha,185.1,20.07,general,retail_shop,Phone accessories,Laptop,3514,20,Low
10,Dar es Salaam,82.3,25.97,worker,small_shop,Stationery,Comics,3131,20,High
1,Dar es Salaam,191.9,27.62,worker,retail_shop,Personal care,Foundation,4253,16,Low
1,Mwanza,136.25,21.97,general,retail_shop,Personal care,Foundation,3425,10,Low
10,Mwanza,152.75,22.48,youth,retail_shop,Personal care,Perfume,4380,21,Low
1,Dar es Salaam,191.9,27.62,worker,market_stall,Sports goods,Treadmill,3261,16,Low
4,Arusha,185.1,20.07,worker,retail_shop,Personal care,Foundation,2115,23,High
4,Dar es Salaam,522.0,25.6,general,market_stall,Clothing,Jacket,759,14,Low
1,Kilimanjaro,43.6,24.46,worker,retail_shop,Phone accessories,Headphones,131,12,Low
1,Mwanza,136.25,21.97,general,retail_shop,Household items,Lamp,3050,16,Low
1,Mwanza,136.25,21.97,worker,retail_shop,Phone accessories,Laptop,4847,18,Low
10,Arusha,56.8,21.36,general,small_shop,Stationery,Biography,844,12,High
4,Dar es Salaam,522.0,25.6,general,market_stall,Sports goods,Treadmill,837,20,High
7,Mwanza,52.2,22.75,youth,market_stall,Sports goods,Treadmill,2920,21,Low
1,Mwanza,136.25,21.97,general,retail_shop,Phone accessories,Smartwatch,4363,15,Low
4,Mwanza,222.6,22.37,general,market_stall,Clothing,T-shirt,2889,18,High
1,Kilimanjaro,43.6,24.46,youth,market_stall,Clothing,T-shirt,3796,8,Low
1,Mwanza,136.25,21.97,general,market_stall,Sports goods,Resistance Bands,3427,17,High
1,Mwanza,136.25,21.97,worker,retail_shop,Household items,Wall Art,3993,23,Low
4,Kilimanjaro,205.1,22.21,worker,retail_shop,Household items,Lamp,909,24,Low
10,Kilimanjaro,51.7,23.9,general,retail_shop,Personal care,Perfume,3473,17,Low
1,Arusha,168.8,20.99,general,retail_shop,Phone accessories,Laptop,3342,25,High
1,Dar es Salaam,191.9,27.62,youth,small_shop,Stationery,Comics,3692,17,Low
4,Zanzibar,499.3,26.05,youth,retail_shop,Phone accessories,Smartwatch,4683,17,High
1,Kilimanjaro,43.6,24.46,general,retail_shop,Household items,Lamp,1918,21,Low
1,Zanzibar,201.3,27.76,worker,market_stall,Sports goods,Dumbbells,3418,25,High
10,Zanzibar,83.5,26.64,general,small_shop,Stationery,Comics,3986,22,High
7,Kilimanjaro,1.9,20.71,worker,retail_shop,Household items,Curtains,1476,20,High
7,Zanzibar,35.5,24.65,youth,small_shop,Stationery,Comics,2974,19,High
10,Zanzibar,83.5,26.64,youth,small_shop,Stationery,Comics,1792,21,High
7,Mwanza,52.2,22.75,general,market_stall,Sports goods,Dumbbells,2439,8,Low
7,Mwanza,52.2,22.75,general,retail_shop,Personal care,Foundation,1659,16,High
7,Zanzibar,35.5,24.65,general,market_stall,Clothing,T-shirt,3508,9,Low
10,Zanzibar,83.5,26.64,youth,small_shop,Stationery,Biography,1830,21,High
4,Dar es Salaam,522.0,25.6,worker,retail_shop,Phone accessories,Headphones,1868,10,Low
1,Mwanza,136.25,21.97,worker,retail_shop,Household items,Cushions,4406,5,Low
4,Mwanza,222.6,22.37,worker,retail_shop,Household items,Lamp,3827,14,High
1,Dar es Salaam,191.9,27.62,general,market_stall,Clothing,T-shirt,1237,29,High
4,Zanzibar,499.3,26.05,youth,small_shop,Stationery,Biography,3969,16,Low
4,Zanzibar,499.3,26.05,worker,retail_shop,Personal care,Lipstick,2715,14,Low
4,Arusha,185.1,20.07,worker,retail_shop,Household items,Curtains,296,22,High
7,Dar es Salaam,20.9,24.91,general,market_stall,Clothing,Shoes,611,26,High
7,Zanzibar,35.5,24.65,general,small_shop,Stationery,Non-fiction,2814,20,High
1,Kilimanjaro,43.6,24.46,general,retail_shop,Household items,Cushions,4820,21,Low
7,Dar es Salaam,20.9,24.91,general,retail_shop,Household items,Lamp,4432,21,High
4,Zanzibar,499.3,26.05,youth,small_shop,Stationery,Fiction,2198,17,Low
4,Zanzibar,499.3,26.05,worker,retail_shop,Phone accessories,Headphones,2873,16,High
10,Arusha,56.8,21.36,worker,retail_shop,Personal care,Moisturizer,1269,23,High
1,Dar es Salaam,191.9,27.62,worker,market_stall,Sports goods,Treadmill,2228,10,Low
7,Kilimanjaro,1.9,20.71,worker,small_shop,Stationery,Non-fiction,1361,13,High
4,Zanzibar,499.3,26.05,youth,retail_shop,Household items,Wall Art,3440,21,Low
1,Dar es Salaam,191.9,27.62,youth,market_stall,Clothing,T-shirt,4935,8,Low
7,Mwanza,52.2,22.75,worker,small_shop,Stationery,Comics,1447,23,High
4,Arusha,185.1,20.07,youth,retail_shop,Household items,Wall Art,4098,14,Low
4,Zanzibar,499.3,26.05,worker,retail_shop,Household items,Curtains,3799,20,Low
10,Zanzibar,83.5,26.64,worker,small_shop,Stationery,Biography,1024,11,Low
10,Zanzibar,83.5,26.64,youth,small_shop,Stationery,Non-fiction,2586,13,Low
7,Zanzibar,35.5,24.65,youth,market_stall,Clothing,Jacket,676,9,Low
7,Kilimanjaro,1.9,20.71,youth,retail_shop,Personal care,Moisturizer,4648,22,High
7,Arusha,19.5,17.72,general,market_stall,Clothing,Jeans,2854,11,High
1,Zanzibar,201.3,27.76,general,market_stall,Sports goods,Resistance Bands,2193,26,High
1,Zanzibar,201.3,27.76,general,retail_shop,Phone accessories,Laptop,124,22,Low
7,Dar es Salaam,20.9,24.91,general,retail_shop,Phone accessories,Smartphone,3878,15,Low
10,Kilimanjaro,51.7,23.9,youth,retail_shop,Personal care,Foundation,3221,16,Low
10,Kilimanjaro,51.7,23.9,general,market_stall,Sports goods,Treadmill,1715,22,Low
10,Arusha,56.8,21.36,general,retail_shop,Personal care,Moisturizer,1762,23,High
7,Dar es Salaam,20.9,24.91,general,market_stall,Sports goods,Treadmill,2569,20,High
4,Zanzibar,499.3,26.05,youth,retail_shop,Personal care,Perfume,3466,10,Low
4,Mwanza,222.6,22.37,general,market_stall,Clothing,Jacket,3007,14,High
10,Dar es Salaam,82.3,25.97,worker,market_stall,Clothing,Jacket,3837,12,Low
10,Kilimanjaro,51.7,23.9,youth,retail_shop,Phone accessories,Headphones,4762,9,Low
10,Zanzibar,83.5,26.64,worker,market_stall,Clothing,Jacket,1167,21,High
7,Mwanza,52.2,22.75,general,market_stall,Clothing,T-shirt,3598,23,High
10,Mwanza,152.75,22.48,general,small_shop,Stationery,Biography,528,21,High
4,Mwanza,222.6,22.37,general,market_stall,Clothing,T-shirt,3605,10,Low
1,Kilimanjaro,43.6,24.46,general,small_shop,Stationery,Fiction,1319,9,Low
7,Kilimanjaro,1.9,20.71,general,retail_shop,Household items,Wall Art,1907,10,Low
1,Zanzibar,201.3,27.76,general,retail_shop,Household items,Cushions,3960,12,High
10,Mwanza,152.75,22.48,worker,retail_shop,Household items,Wall Art,3444,15,High
10,Kilimanjaro,51.7,23.9,general,market_stall,Sports goods,Yoga Mat,1681,21,Low
7,Zanzibar,35.5,24.65,general,retail_shop,Personal care,Perfume,1209,10,Low
7,Zanzibar,35.5,24.65,youth,retail_shop,Household items,Cushions,3993,18,High
4,Dar es Salaam,522.0,25.6,general,small_shop,Stationery,Biography,2109,11,Low
10,Zanzibar,83.5,26.64,youth,retail_shop,Household items,Lamp,861,30,High
7,Zanzibar,35.5,24.65,youth,small_shop,Stationery,Non-fiction,4877,18,Low
4,Mwanza,222.6,22.37,worker,retail_shop,Personal care,Perfume,1088,19,Low
4,Arusha,185.1,20.07,general,retail_shop,Household items,Wall Art,2581,20,Low
1,Zanzibar,201.3,27.76,general,retail_shop,Household items,Wall Art,2820,12,High
7,Kilimanjaro,1.9,20.71,general,small_shop,Stationery,Biography,4934,11,Low
10,Arusha,56.8,21.36,youth,market_stall,Sports goods,Dumbbells,4664,26,High
4,Kilimanjaro,205.1,22.21,worker,retail_shop,Personal care,Foundation,2183,18,High
10,Kilimanjaro,51.7,23.9,worker,market_stall,Clothing,Jeans,1359,9,Low
10,Dar es Salaam,82.3,25.97,general,market_stall,Clothing,Jacket,382,19,Low
1,Mwanza,136.25,21.97,general,retail_shop,Personal care,Foundation,2726,19,High
4,Zanzibar,499.3,26.05,youth,market_stall,Sports goods,Yoga Mat,1048,22,Low
1,Dar es Salaam,191.9,27.62,general,market_stall,Sports goods,Treadmill,3669,22,Low
4,Mwanza,222.6,22.37,worker,retail_shop,Phone accessories,Smartwatch,1163,18,High
7,Kilimanjaro,1.9,20.71,general,market_stall,Clothing,T-shirt,4401,20,Low
4,Dar es Salaam,522.0,25.6,youth,retail_shop,Phone accessories,Smartwatch,3358,19,Low
4,Mwanza,222.6,22.37,worker,retail_shop,Phone accessories,Smartwatch,4416,14,High
10,Zanzibar,83.5,26.64,general,market_stall,Clothing,Jeans,2235,25,High
10,Zanzibar,83.5,26.64,worker,retail_shop,Household items,Curtains,277,17,High
4,Mwanza,222.6,22.37,worker,retail_shop,Phone accessories,Smartphone,160,22,Low
1,Kilimanjaro,43.6,24.46,youth,retail_shop,Personal care,Moisturizer,4621,26,High
1,Kilimanjaro,43.6,24.46,worker,retail_shop,Household items,Cushions,4539,15,Low
1,Kilimanjaro,43.6,24.46,general,small_shop,Stationery,Biography,1953,13,Low
4,Kilimanjaro,205.1,22.21,youth,small_shop,Stationery,Biography,2694,17,Low
4,Dar es Salaam,522.0,25.6,general,retail_shop,Personal care,Moisturizer,1404,22,Low
10,Mwanza,152.75,22.48,youth,market_stall,Sports goods,Resistance Bands,1902,16,High
7,Arusha,19.5,17.72,worker,retail_shop,Personal care,Moisturizer,2062,13,High
4,Dar es Salaam,522.0,25.6,youth,small_shop,Stationery,Comics,2955,18,Low
7,Dar es Salaam,20.9,24.91,worker,small_shop,Stationery,Fiction,2037,23,High
